City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,Bambous Virieux,MU,76.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
73,Makakilo City,US,77.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
74,Abu Dhabi,AE,72.97,clear sky,24.4667,54.3667,Beach Rotana
83,Trincomalee,LK,78.96,broken clouds,8.5711,81.2335,Welcombe Hotel
98,Qui Nhon,VN,73.04,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
111,Neuquen,AR,75.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
117,Soe,ID,76.08,broken clouds,-9.8607,124.284,Dena Hotel
122,Sao Filipe,CV,70.59,scattered clouds,14.8961,-24.4956,Hotel Xaguate
123,Inirida,CO,74.91,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
128,Pundaguitan,PH,79.95,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
146,Sassandra,CI,78.08,overcast clouds,4.95,-6.0833,la terrasse
148,Bhitarwar,IN,78.39,clear sky,25.8,78.1167,Rahman master
150,Ukiah,US,74.64,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
164,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
165,Puerto Ayora,EC,78.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
167,Jalpan,MX,79.88,clear sky,21.2333,-99.4833,Hotel Mision Jalpan
174,Coahuayana,MX,72.46,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
182,Tura,IN,71.08,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
188,Chibuto,MZ,71.92,light rain,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
197,Puerto Escondido,MX,79.52,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
205,Kapit,MY,77.67,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
208,Port Macquarie,AU,73.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
218,Mandiana,GN,79.39,overcast clouds,10.6333,-8.6833,Motels rouzo
226,Pueblo,US,74.16,scattered clouds,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
229,Kismayo,SO,79.95,scattered clouds,-0.3582,42.5454,Agan-Hotel
240,Oussouye,SN,71.78,overcast clouds,12.485,-16.5469,Auberge du Routard
243,Meadow Lake,US,74.86,few clouds,34.8014,-106.5436,TumbleWeed RV Park
244,Padang,ID,75.25,few clouds,-0.9492,100.3543,Mercure Padang
248,Tecoanapa,MX,77.88,broken clouds,16.5167,-98.75,Hotel Manglares
250,Atar,MR,72.34,clear sky,20.5169,-13.0499,Oumou Elghoura
251,Nizwa,OM,73.72,broken clouds,22.9333,57.5333,Orient Apartments
256,Lima,PE,73.9,few clouds,-12.0432,-77.0282,Hotel Kamana
263,Porbandar,IN,76.84,clear sky,21.6422,69.6093,Lords Inn Porbandar
267,Sambava,MG,73.36,clear sky,-14.2667,50.1667,Melrose
281,Basco,PH,74.68,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
284,Soyo,AO,78.96,overcast clouds,-6.1349,12.3689,Hotel Mpampa
289,Correntina,BR,70.99,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
293,Touros,BR,77.52,few clouds,-5.1989,-35.4608,INN NEW HORIZON
294,Cabo San Lucas,MX,78.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
300,Umm Lajj,SA,79.93,few clouds,25.0213,37.2685,Moon light Furnished Units
302,Santa Cruz,BO,71.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
310,Asosa,ET,75.47,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
