City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Sao Filipe,CV,14.8961,-24.4956,70.59,80,30,2.3,scattered clouds
123,Inirida,CO,3.8653,-67.9239,74.91,95,39,3.13,scattered clouds
124,Davila,PH,18.4726,120.5763,80.58,79,97,25.23,overcast clouds
125,Vostok,RU,46.4856,135.8833,38.46,71,0,8.39,clear sky
126,Okhotsk,RU,59.3833,143.3,16.79,75,23,4.68,few clouds
127,Trofors,NO,65.5333,13.4063,27.79,97,100,4.34,light snow
128,Pundaguitan,PH,6.3711,126.1689,79.95,81,100,13.35,overcast clouds
129,Thompson,CA,55.7435,-97.8558,30.36,43,75,4.61,broken clouds
130,Damghan,IR,36.1683,54.348,59.22,26,2,1.36,clear sky
131,Eregli,TR,37.5133,34.0467,51.22,41,38,0.96,scattered clouds
132,Glens Falls,US,43.3095,-73.644,42.19,61,97,1.01,overcast clouds
133,Vuktyl,RU,63.8567,57.3094,0.46,99,57,3.33,broken clouds
134,Dunedin,NZ,-45.8742,170.5036,63.52,61,92,6.04,overcast clouds
135,Mar Del Plata,AR,-38.0023,-57.5575,61.88,78,0,20.0,clear sky
136,Longyearbyen,SJ,78.2186,15.6401,-4.79,94,80,6.62,broken clouds
137,Neuhof,DE,50.4531,9.6175,24.13,96,85,3.02,overcast clouds
138,Pevek,RU,69.7008,170.3133,-0.74,88,100,1.5,overcast clouds
139,Yangambi,CD,0.8102,24.4336,68.61,99,100,1.36,overcast clouds
140,Ola,RU,59.5833,151.2833,21.15,78,100,3.4,overcast clouds
141,Asau,RO,46.4333,26.4,37.96,100,100,2.06,overcast clouds
142,Karoi,ZW,-16.8099,29.6925,60.96,97,1,4.07,clear sky
143,Acajutla,SV,13.5928,-89.8275,82.29,76,66,6.35,broken clouds
144,Porto Novo,BJ,6.4965,2.6036,84.02,83,100,8.16,overcast clouds
145,Moose Factory,CA,51.2585,-80.6094,33.8,69,100,4.61,overcast clouds
146,Sassandra,CI,4.95,-6.0833,78.08,88,100,6.78,overcast clouds
147,Arona,ES,28.0996,-16.681,58.12,74,40,3.44,scattered clouds
148,Bhitarwar,IN,25.8,78.1167,78.39,10,0,7.49,clear sky
